Cre Account,Cre Name
DEVHAM,DEVHAM SERVICES LIMITED
DEVI,Devi Comfort Heat Ltd
DEVI,Devi Heating Systems Ltd
DEVONPLAST,DEVON PLASTICS LTD
DEXION,Dexion
DEXION,GUD NZ HOLDINGS
DEXIONIND,Dexion Industrial
DEXIONSUPC,DEXION SUPPLY CENTRE
DEXIONSUPP,DEXION SUPPLY CENTRE
DGFLOOR,D G Flooring
DHL,DHL Global Forwarding AUCKLAND
DHLEXPRESS,DHL Express (NZ) Ltd
DHM,DHM Wholesale Limited
DIACK,Diack Bros Ltd
DIALIGHT,Dialight ILS Australia P/L
DIALIGHTNZ,Dialight ILS Australia P/L
DIAMOND,Diamond Tools Ltd Australasia
DIAMONDGAR,DIAMOND GARDENING LTD
DICKERDATA,Dicker Data NZ Ltd
DIESEL&T,DIESEL & TURBO WELLINGTON
DIESELPOW,DIESEL & POWER SYSTEMS NZ LTD
DIFFUSER,Diffusers & Lighting Ltd
DIFFUSER,Diffusers & Plastic Prod Ltd
DIFFUSERIN,Diffuser Industries ltd
DIGITAL,Digital Communications
DIGITALENG,Digital Engraving Ltd
DIGITALIMP,Digital Imports Ltd
DIGITALLG,DIGITAL LOGISTICS
DIGITALLOG,Digital Logistics Group
DIGITALLOG,DLG International
DIGITALW,Digital World Ltd
DIGITALW,Digital World NZ Ltd
DIGITE,Digitek 2006 Limited
DINERS,DINERS CLUB (NZ) LTD
DIONS,DIONS HYUNDAI CENTRAL LTD
DIRCONTROL,Direct Control Limited
DIRECTG,Direct Group
DIRECTOFF, Direct Office Furniture
DIRECTOFF,DIRECT OFFICE FURNITURE
DIRECTPAY,DIRECT PAYMENT SOLUTIONS
DIRECTPAY,PAYMENT EXPRESS LTD
DIRECTPAY,WINDCAVE LTD
DIRIN,Direct Inspection
DISHTV,Dish Tv Technologies Ltd
DISHTV,fDish Tv Technologies Ltd
DISPATCH,Dispatch & Garlick Ltd
DISPLAY,Display Interiors
DISTINCTPN,DISTINCTION PALMERSTON NORTH
DKELECT,DK Electrical (2008) Ltd
DLMWALL,USE DOMLEAD
DMSTANDEN,DM Standen Ltd The Rope Centre
DMSTANDEN,Shaw's Wire Ropes Limited
DOBSONR,Dobsons Refrigeration & Elect
DOBSONREF,Dobsons Refrigeration & Elect
DOCHERTY,Docherty Lighting & Electrical
DOCUMENT,Document Destruction Services
DOCUMENT,TIMG
DOHER,DOHERTY TRADING LIMITED
DOLPHIN,Dolphin Water Products Ltd
DOMAINZ,Domainz
DOMELEC,Dominion Electric Co
DOMINIONP,DOMINION POOL & SPA LTD
DOMLEAD,DLM Wallace Pumps
DOMWIRE,Dominion Wire & Cables Ltd
DONALD,Donald B Webster
DONALDW,Donald B Webster
DONOVANS,Donovans Trade Supplies Ltd
DONTPAN,DON'T PANIC
DONTPAN,DONT PANIC
DOONANSRAG,Doonans Cleaning Rag Service
DOORMAN,DOORMAN LTD
DOORMATICS,DOORMATICS NZ
DOORTECH,Doortech
DORES,DORE'S FOR FLOORS
DORMA,DORMA NZ LTD
DORMA,DORMAKABA NZ LTD
DOUGLASAUT,DOUGLAS AUTOMOTIVE & ENGINEERI
DOVE,Dove Electronics Ltd
DOVECHART,Dove Charters Ltd
DOWDELL,DOWDELL & ASSOCIATES LTD
DOWNEREDI,DOWNER EDI WORKS LTD
DOWNES,DOWNES TYRE SERVICE LTD
DOWNS,DOWNS BUILDER LTD
DR TRIM,DR TRIM LTD
DRAINSURG,Drain Surgeons Ltd
DRAINUNB,DRAIN UNBLOCKERS LIMITED
DRAPERENT,Draper Enterprises Ltd
DRESSUP,Dress Up Box
DRFIXIT,DR FIXIT
DRIVE,Drive Dynamics Ltd
DRIVE,Power Electronics
DRIVE,Power Electronics NZ Ltd
DRIVESAFE,DRIVESAFE
DRIVETECH,Drivetech Ltd
DRIVING,Driving Forward
DRS,DRIVE REPAIR SHOP LTD
DRUMETH,Drummond & Etheridge
DRUMMOND,Drummond & Etheridge
DRYAD,DCS Dryad
DRYLANDS,Drylands Restaurant
DSCINC,Disabled Citizens Society Inc
DSCINC,DISABLED CITIZENS' SOCIETY INC
DSE,DSE (NZ) LTD
DTE,Dynamic Technologies Ltd
DTKING,D.T King & Co Ltd
DTR,DTR
DTV,DTV Solutions Limited
DTZ,DTZ Group New Zealand Ltd
DTZ,DTZ Northland Ltd
DTZ,WISEMAN BURGESS MALONE
DUCO,DUCO EVENTS LIMITED
DUCO,Duco Events Ltd
DUDER,Duder Print Ltd
DUDLEY,Dudley & Dennis Signs
DUESOUTH,Due South Collective Limited
DUFFETT,Duffett Doors & Grills Ltd
DUFFS,Duffs Tyres
DUFFY,DUFFY & FINN'S
DUFFY,Duffy & Finns
DUFTY,Mark Dufty Paint & Panel
DULHUNTY,Dulhunty Power
DULMISON,Dulmison (NZ) Ltd
DULUX,Dulex Paint Centre
DUNCAN,Duncan's Canvas Ltd
DUNCO,Duncan Cotterill
DUNEDINCC,DUNEDIN CITY COUNCIL
DUNEDINMM,Dunedin Milk and More Ltd
DUNEFORD,Dunedin City Ford
DUNEFORD,Dunedin City Motors
DUNMAR,Dunmar Holdings Ltd
DUNVENUES,Dunedin Venues Mgmt Ltd
DUTCH,Dutch Rusk Ltd
DUTCHRUSK,Worthy Products South Ltd
DUVELLE,DU VELLE PROPERTIES LTD
DUX,DUX INDUSTRIES LTD
DVKELLY,D V KELLY PTY LTD
DVPINVEST,DVP INVESTMENTS LTD
DVTSOL,DVT Solutions Limited
DWANANDREW,DWAN AND ANDREWS LTD
DWCRABB,D W Crabb
DYNA,Dynalink Modems
DYNAMIC,DYNAMIC FLUID SYSTEMS
DYNAMICSW,DYNAMIC SWITCHBOARDS LTD
DYNEX,DYNEX EXTRUSIONS LIMITED
DYSON,Dyson Smythe & Gladwell
DYSONNZ,Dyson New Zealand Ltd
DZINE,Dzine Furniture Ltd
E&KDOYLE,E & K Doyle Tapui Ltd
E4ELEC,E 4 Electrical
E4ELEC,E4 ELECTRICAL
EAGLE,Eagle Technology Group Ltd
EAGLECHEM,Eagle Chemicals
EAGLELEC,Eagle electrical Industries NZ
EAP,EAP SERVICES
EARLYBIR,EARLY BIRD TRANSPORT 2006 LTD
EASTBAYFR,Eastbay Freight
EASTCOASTA,EASTCOAST AUTOMOTIVE
EASTEL,Jeff Andrews Ltd
EASTERNBAY,Eastern Bay Distributors Ltd
EASTERNCOF,EASTERN COFFEE LTD
EASTERNHI,Eastern Hi Fi
EASTERNHO,Eastern Horizon Holdings Ltd
EASTLANDN,EASTLAND NETWORK LTD
EASTRAY,Eastray Enterprises Ltd
EASTTAM,East Tamaki Rugby Football
EASTWEST,EAST WEST WASTE
EASTWOO,EASTWOOD & BRAIN ELECTRICAL
EASY2C,EASY2C LTD
EASYA,East Access Co (1999) Ltd
EASYA,Easy Access Co (1999) Ltd
EASYWAY,Easyway Bins Ltd
EBBETT,Ebbett Automation LTD
EBBETTTOYO,EBBETT TOYOTA
EBBETTWAI,EBBETT WAIKATO LTD
EBHIRE,East Bay Hire Ltd
EBM-PAPST,EBM-PAPST A & NZ PTY LTD
EBUILT,E BUILT
ECANZ,Ecanz
ECANZAK,Ecanz Auckland
ECANZCANT,ECANZ CANTERBURY  WESTLAND BR
ECANZCHALL,ECANZ CHALLENGE
ECANZOTAG,Ecanz Otago Branch
ECANZWK,ECANZ  WAIKATO & DISTRICTS INC
ECC,ECC Lighting & Living Ltd
ECCO,Ecco Pacific Pty Ltd
ECCOP,CABAC New Zealand Ltd
ECCOP,Ecco Pacific Ltd
ECCOURIERS,East Coast Couriers (2006) Ltd
ECE,ECE Fast NZ Ltd
ECHO,Echo Engraving Limited
ECKFORDENG,ECKFORD ENGINEERING 2002 LTD
ECNAZCHALL,ECANZ CHALLENGE
ECO,Eco Air Ltd
ECOAIRHEAT,ECO AIR HEAT PUMPS LTD
ECOBRIGHT,ecoBright Energy Solutions Ltd
ECOCLEAN,ECO CLEANING SERVICES
ECOGLO,Ecoglo International Ltd
ECOLABNZ,ECOLAB NEW ZEALAND
ECOLIFE,Ecolife Lighting Limited
ECOM,Ecom NZ Ltd
ECONNECX,Switch-It Innovations Ltd
ECONOHEAT,Econo-Heat Limited
ECOPOINT,Ecopoint Limited
ECOPOINT,FOS Lighting
ECOSPEC,ECOSPEC ENVIRONMENTAL SERVICES
ECOWARE,Eightysix Trading Limited
ECS,ELECTRONIC COMMUNICATION SOLU.
ECT,ECT Solutions Ltd
EDAC,Edac Electronics
EDAC,Edac Electronics ltd
EDEM,EDEM HARDWARE
EDEN,Eden Park Trust Board
EDENCATER,Eden Catering
EDENCATER,EDEN PARK CATERING
EDENGROUP,Maintenance Contracting Serv
EDENGROUP,MAINTENANCE CONTRACTING SERVIC
EDENGROUP,WINDOW CONTROL SYSTEMS (2017)
EDENPARKC,Eden Park Catering Limited
EDGEWELL,Edgewell Personal Care ULC
EDL,EDL Fasteners Ltd
EDLING,P J Edlington Ltd
EDMOND,Edmonds & Mason Panel & Paint
EDMONDJR,J R Edmond
EDMONDS,Edmonds Judd Trust A/c
EDSAUTO,ASCO DISTRIBUTION LTD
EDSAUTO,Ed's Auto Services Ltd
EDWARDGIB,Edward Gibbon Dunedin
EDWARDSS,Edwards Sound Light&Vision Co
EDWARDWK,Edward Gibbon Ltd Wanaka
EECOTEC,Eecotech NZ Limited
EEPL,Energy Efficient Products Ltd
EFNZ,Epilepsy Foundation of NZ
EFTPOS,Eftpos (NZ) Ltd
EFTPOSPN,Eftpos Manawatu Ltd
EGLEY,USE IDEAL
EGLEYEL,Egley Electrical Co. Ltd
EGLEYPET,AC
EGLEYPET,Egley Electrical Petone
EGLEYPET,EGLEY ELECTRICAL PETONE LTD
EIGHTYNINE,EIGHTY NINE NEWTON LTD
EKDAHL,EKDAHL PROPERTIES LTD
ELASTOME,Elastomer Products Ltd
ELECCONT,Electrical Contractors Associa
ELECFURN,The Electric Furnace Co Ltd
ELECTASH,Electricity Ashburton
ELECTCOMM,Electronic Commerce Network
ELECTCON,Electrical Connections NZ Ltd
ELECTDIREC,Electrical Direct Ltd
ELECTGUYS,Electric Guys Ltd
ELECTIMP,Electrical Importing Co Ltd
ELECTMOTOR,Electric Motor Solutions Ltd
ELECTPRO,ELECTRO PRODUCTS & SERVICE LTD
ELECTRA$AU,Electra Cables
ELECTRA$NZ,Electra Cables New Zealand
ELECTRABOX,ELECTRABOX LTD
ELECTRAD,Electrade New Zealand Ltd
ELECTREX,Electrex Manufacturing Ltd
ELECTRIC1,Electric1 Ltd
ELECTRICF,Electric Fix
ELECTRINET,ELECTRINET
ELECTROCO,ELECTROTECH CONTROLS LTD
ELECTROCOM,Electro Commercial Ltd
ELECTROENG,Electro Engineering
ELECTROF,ELECTROFLASH RESOURCING
ELECTROINT,Electronic Interiors Limited
ELECTROL,ELECTROLUX HOME PRODUCTS (NZ)
ELECTRON,Electronic & Transformer Eng
ELECTRONET,Electronet Services Ltd
ELECTRONIC,
ELECTROP,Electropar Ltd
ELECTROQ,Electro Quip (Lamps)
ELECTROQU,Electroqu (Engineering)
ELECTROQU,ELECTROQUIP LTD
ELECTROS,Electro Services Ltd
ELECTROT,Electrotest Ltd
ELECTROTEC,Electrotech Services
ELECTSPEC,Electronic Specialists
ELECTSUP,Electrical Supply Corp
ELECTSUP,JFS
ELECTTO,Electric Tool Services
ELECTTO,Electric Tool Servicing Ltd
ELECTTRADE,ELECTRICAL TRADE DISTRIBUTORS
ELECTUS,Electus Distribution
ELEIN,ELECTRICAL INSPECTIONS
ELEMENT82,Element 82 Limited
ELEVATE,Vintu Holdings Ltd
ELGAS,ELGAS LTD
ELGASLTD,ELGAS NZ LIMITED
ELIGHTING,E-Lighting Limited
ELISE,NF
ELITE,ELITE BUSINESS SYSTEMS LTD
ELITEAUTO,ELITE AUTO SPRAY (2006) LTD
ELITEBATH,Elite Bathroomware Limited
ELITEBATH,Elite Bathroomware Ltd
ELITEKITCH,ELITE KITCHENS & JOINERY
ELITETYRE,ELITE TYRE & ALIGNMENT
ELLDEX,Elldex Packaging Ltd
ELLERSLIE,Ellerslie Event Centre
ELLERYS,Ellerys Home Appliance Centre
ELLIS,ELLIS
ELLIS,Ellis & Co Ltd
ELLIS,GS
ELLISJ,Ellis Jones Ltd
ELLOITS,ELLIOTTS
ELMWOOD,Elmwood Catering
ELPOWER,Elpower NZ Ltd
ELQUIP,ELECTRIC PRO
ELQUIP,Elquip Supplies
ELTL,EFFICIENT LIGHTING TECHNOLOGY
ELTRADE,Electrex Manufacturing Limited
ELTRADE,Eltrade Manufacturing Limited
EMAC,EMAC ELECTRICAL LTD
EMBRIUM,Embrium Holdings Ltd
EMBROID,EMBROIDERY SPECIALISTS LTD
EMBWORKS,Embroidery Works
EMBWORKS,Emroidery Works
EMCFORK,EMC Forklift Ltd
EMCII,EMC Industrial Group Ltd
EMCIW,EMC Industrial Weighing
EMD,Electro Mechanical Development
EMD,EMD 2011 LTD
EMERG,Emergency Glass Services
EMERGL,Emergency & Lighting Design
EMERSON,EMERSON PROCESS MANAGEMENT
EMERSONPR,Emerson Process Management
EMF,EMF Industrial Ltd
EMFSWI,EMF Switchboards
EMPIREEL,Empire Electrical Services
EMPIREMART,Empire Mart
EMPLOYMA,Employers & Manufacturers Asso
EMPLOYMENT,EMPLOYMENT DISPUTE SERVICES
EMPOWER,Empower Thames
EMPOWER2,Empower Whitianga
EMPTEC,Emptec Agencies
EMSELECT,EMS ELECTRICAL & MACHINERY SER
EMSLIE,EMSLIE & FLOCKTON (OTAGO) LTD
EMTECH,EM-TECH PROJECT SERVICES LTD
ENASOLAR,EnaSolar Ltd
ENCLOSURE,Enclosure Technology Limited
ENCO,Enco Industrial Supples Ltd
ENEQUIP,Energy & Enviro Equipment Ltd
ENERCON,Energy LIght Ltd
ENERGS,Energy Systems 2000
ENERGY,Energy Products International
ENERGYCENT,Energy Centrepoint ltd
ENERGYCITY,ENERGY CITY FORD
ENERGYCO,Energy Conservation Options Lt
ENERGYH,ENERGY HYDRAULICS
ENERGYL7D,Energy Light Ltd 7 Day Account
ENERGYLIG,Energy Light Ltd
ENERGYM,Energy Management Consultants
ENERGYNET,THE ENERGY NETWORK
ENERGYO,Energy On Line
ENERGYOKAW,ENERGY ON LINE KAWERAU
ENERGYSOL,Energy Solution Providers Ltd
ENERM, Landis+Gyr
ENERM,Enermet Ltd
ENERM,Landis+Gyr (Enermet)
ENERSAV,Enersave Products Ltd
ENERTECPOW,ENERTEC POWER SOLUTIONS
ENERTECS,Enertec Services Limited
ENFIELD,ENFIELD CABLES N.Z. LTD
ENFIELD,Enfield Cables NZ ltd
ENGAGING,Engaging Partners Limited
ENGCOMP,Engineering & Compressor Serv
ENGCOMP,ENGINEERING & COMPRESSOR SERVI
ENGINCOM,Engineering Computer Service
ENGINEIMP,Engine Imports
ENGINEROOM,The Engine Room Automotive
ENGRAV,THE CHASERS CRAFT ENGRAVING
ENGRAVIN,Engraving Systems Ltd
ENGRAVIN20,Engraving Systems 2020
ENGRAVO,ENGRAV-O-MARK LTD
ENGRAVTRO,Engraving & Trophy Centre
ENHANCEDT,Enhanced Telephone Services
ENI,ENI Engineering Limited
ENI,ENI Enginering Limited
ENLIGHTENZ,Enlightenz NZ Ltd
ENLIGHTSI,Enlightenz South Island Ltd
ENRIGHTR,Ron Enright Ltd
ENRIGHTT,Ron Enright Tools Ltd
ENSTREAM,Edward Gibbon Plumbing Plus Lt
ENSTREAM,EN STREAM PLUMBING PLUS
ENTER,Enterprise Charters Ltd
ENTERPRMOT,ENTERPRISE MOTOR GROUP LTD
ENTIREL,Entire Lighting Technologies
ENTRANCE,Entrance Properties Ltd
ENVCO,Envco The Environmental
ENVIRON,Environment Waikato Regional
ENVIRONCAN,ENVIRONMENT CANTERBURY
ENVIRONP,Environ Printer & Fax Repairs
ENVIROREEL,Enviroreel Plastics (NZ) Ltd
ENVIROSITE,ENVIRO SITE SERVICES
ENVIROSTH,Environment Southland
ENVIROWAS,Envirowaste Services Ltd
EON,EON
EONE,E One Computers Ltd
EOSNZ,EOS New Zealand Limited
EOSNZ,EOS New Zealand Ltd
EPICEN,Epic Engraving Limited
EPICLTD,Epic Limited
EPIGROUP,EPI GROUP 2020 LTD
EPRODUCTS,E products NZ Ltd
EPULSE,EPULSE ELECTRICAL LTD
EQUIPMARK,Equipment Marketing (2008) Ltd
EQUIPMENT,Equipment Supply People Ltd
EQUIPMENTM,Equipment Market
ERICMOESS,Eric Moess Fencing Ltd
ERICSSONC,ERICSSON CELLULAR LTD
ERICSSONCO,Ericsson Communications Ltd
ESBAR,Expandable Safety Barriers
ESBAR,Expando Safety Barriers
ESL,Electricity Southland Limited
ESNZ,Electro Services NZ Ltd
ESOURCELTD,Esource ltd
ESOURCELTD,Esource Products Ltd
ESP,Electronic Sec. Products Ltd
ESPELEC,ESP Electrical & Refrigeration
ESPRESSO,ESPRESSO WORKZ  LTD
ESPRESSOR,ESPRESSO RESCUE
ESPRESSOW,Espresso@work
ESSELTE,ESSELTE NZ LTD
ESSENTIAL,ESSENTIAL BRANDS (NZ) LTD
ETC,ETC COMMERCIAL CLEANING
ETELDIS,Etel Distribution Transformers
ETELSER,ETEL Services Limited
ETHEORY,eTheory Sales Ltd
ETITO,ETITO
ETITO,Ettito
ETRONICS,ETRONICS
EUAUTO,EU Automation Pte Ltd
EUNICE,Eunice Taylor 2023 Ltd
EURODESN,Eurotech Design Ltd
EUROESP,Euroespresso Limited
EUROLIGHT,Euro Lighting
EUROLUCE,EUROLUCE LIGHTING NZ LTD
EUROMARINE,Euromarine
EUROMARINE,Lighthouse Euromarine
EUROMARINE,Lighthouse Marine EquipmentLtd
EUROTEC,Eurotec Instruments Ltd
EUROTEC,Eurotec Limited
EUROTEC,Eurotec Ltd
EUROTECHA,Euro tech Auto services
EUROTECHA,Euro-Tech Auto Services
EUROTECHD,Eurotech Design
EUROTECHM,EUROTECH MACHINERY LTD
EUROTECHMA,Eurotech Machinery Ltd
EUROTECL,EUROTECH LIGHTING
EUROTECL2,EUROTECH LIGHTING
EUROTHER,Drives and Controls NZ Ltd
EUROTHER,Eurotherm
EUROVAC,Eurovac NZ Limited
EVAJAMES,EVA JAMES LTD
EVANS,Evans Freight
EVANSEURO,EVANS EUROPEAN lTD
EVENTECHN,EVENT TECHNIQUE LTD
EVENTIMP,EVENT / IMPRESSIONS
EVEREADY,Eveready Energizer NZ Ltd
EVEREADY,NF
EVEREST,Everest Air Conditioning Ltd
EVERETTPAR,EVERETT PARKER
EVERITT,Chris Everitt Limited
EVERLERT,Everlert Ltd
EVERTON,Everton Builders Limited
EVOCOMLTD,Evocom Ltd
EVOLINE,Evoline NZ Ltd
EVOLT,EVOLT(NZ) PTY LTD
EVOLUTION,EVOLUTION MARINE LTD
EVOLVENZ,Evolve New Zealand Limited
EWASTE,E-Waste Limited
EWLSOUTH,E W L Southland
EXALGLA,Exal Glasshouse Equipment
EXCEL,EXCEL SWITCHGEAR LTD
EXCELLCL,EXCELL CLEANING SERVICES LTD
EXCHANGE,Exchange Communication Ltd
EXCLUS,EXCLUSIVE CLEANING SERVICES
EXCNET,Exclusive Networks (NZ) Pty Lt
EXECUTIVE,Executive Electrical Limited
EXEED,Exeed Limited
EXEED,Exeed Ltd
EXELNETWOR,EXELNETWORK NZ LTD
EXHIBITG,Exhibit Group (NZ) Ltd
EXIDE,Exide Batteries
EXIDE,Exide Technologies
EXIDE2,Exide Technologies Ltd
EXPCAST,Expert Casting Systems Ltd
EXPENSE,Expense Reduction Analysts
EXPORT,Export Meat Warehouse
EXPRESD,Express Diesel Service
EXPRESD,SENSOR SYSTEMS (NZ)LTD
EXPRESS,EXPRESS GLASS
EXPRESSAL,Express Aluminium Ltd
EXPRESSC,Express Clean Ltd
EXPRESSDAT,Express Data (NZ)
EXTRAMILE,212F (NZ) LIMITED
EXTRAMILE,Extra Mile Company
EYE,Eye Lighting NZ Ltd
EZIBUY,Ezibuy Corporate
EZICLEAN,Ezi Clean Windows
EZTOWEL,Eztoewl NZ Ltd
EZYSTRUT,EZYSTRUT
EZYSWITCH,Ezy Switch Limited
FABBIAN,Fabbian Lighting NZ Ltd
FABISH,Tony Fabish Panelworks
FABPLAST,Fab Plastics Limited
FABRICELL,Fabri Cell International Ltd
FAGANMOT,FAGAN MOTORS
FAGERHULT,Fagerhult (NZ) Ltd
FAGERHULT,Fagerhult NZ/EAGLE LIGHTING
FAIRFAX,Fairfax Auckland Group
FAIRFAXB,Fairfax Business Media
FAIRFAXLHT,FAIRFAX MEDIA LOWER HUTT
FAIRFAXM,Fairfax Masterton Acc
FAIRFAXNP,FAIRFAX MEDIA NEW PLYMOUTH
FAIRFAXPOR,FAIRFAX MEDIA
FAIRVIEW,Fairview Motors Ltd
FAIRVIEWM,FAIRVIEW MOTORS LTD
FAIRVIEWW,FAIRVIEW WINDOWS TIMARU LTD
FALCON,Falcon Electrical Limited
FAMCO,Famco Lighting Ltd
FANMAN,The Fan man
FANS,Fans Direct NZ
FANS,Pacific HVAC Engineering
FANS,Pacific NZL
FANS,Pacific Vebtiliation Pty Ltd
FANSOL,FAN SOLUTIONS LIMITED
FANTECH,Fantech NZ Ltd
FANZON,Fanzone Limited
FAR,FAR NORTH HIRE
FARMERT,ENVIROWASTE
FARMERT,FARMERS TRANSPORT LTD
FARMLAND,Farmland Co-operative Society
FARNELL,Element14 Pty Ltd
FARNELL,Farnell Eectron Component Ltd
FARNORTH,FAR NORTH DISTRICT COUNCIL
FARNORTHGA,FAR NORHT GAS
FARNORTHGA,FAR NORTH GAS
FARNORTHM,FAR NORTH MILK  2021 LTD
FARNORTHM,FAR NORTH MILK LTD
FARNTHHIRE,Far North Hire
FARNTHHON,Far North Honda Ltd
FARRANT,Greg Farrant
FARRELL,Graeme Farrell Builders
FASHIONBIZ,Fashion Biz Ltd
FAST,ARAMEX PALMERSTON NORTH
FAST,Fast Ed couriers
FAST,Fastway
FAST,FASTWAY KAPITI
FAST - WAI,Fastway Couriers (Wairarapa)
FASTCOM,fastcom limited
FASTENIN,Fastening Supplies
FASTLUBE,West City Fastlube
FASTPHONE,FASTPHONES & SECURITY ALARMS
FASTSUP,Steel & Tube Fastening Systems
FASTW,Fastway Courier Hawkes Bay
FASTWA,Fastway Group
FASTWAWK,Fastway Waikato River City
FASTWAY,Fastway Wanganui
FASTWAYBLE,Fastway Couriers Nelson
FASTWAYCH,3G LOGISTICS
FASTWAYCH,CANTERBURY COURIERS
FASTWAYGIS,Fastway Couriers Gisborne
FASTWAYOH,Auckland City Courier Ltd
FASTWAYTAR,Fastway Couriers Taranaki
FASTWAYTPO,FASTWAY ROTORUA/ TAUPO
FASTWGRE,Fastway Couriers West Coast
FASTWNEL,TASMAN COURIERS LTD
FASTWNEL,TOPSOUTH COURIERS LTD
FASTWNOR,35 TO 36 DEGREE COURIERS LTD
FASTWNOR,Express Parcels Ltd
FASTWNOR,Northland Couriers Ltd
FASTWOTAGO,Fastway Otago
FASTWTGA,FASTWAY COURIERS TAURANGA
FAULKNER,Faulkner Collins Ltd
FAYWAYS,Fayways Lunchbar
FBHALL,F B Hall & Co Ltd
FDG,Fasteners Direct Global Ltd
FEDEX,FEDERAL EXPRESS PACIFIC LTD
FEDEX,"FEDERAL EXPRESS PACIFIC, LLC"
FELGROUP,Fel.Group Limited
FELIX,FELIX RESEARCH LABORATORIES
FELTONMIX,Feltonmix Industries Limited
FENTONJ,J FENTON
FENWICKS,Fenwick Signs Ltd
FERGUSON,Ferguson Bros (1971) Ltd
FERNLITE,Fernlite Lighting Ltd
FERRIS,Wayne Ferris
FERSALIGHT,Fersa Light Tecchnic Limited
FEST,FESTIVE LIMITED
FESTIVE,Festive NZ Ltd
FESTO,Festo Ltd
FFP,FFP CANTERBURY LTD
FFPROD,F & F Produce Ltd
FHPBUILDER,FHP BUILDERS LTD
FIBAROAUST,Fibaro Australasia (NZ) Ltd
FIBREOPT,Fibre Optic Lighting Ltd
FIBREOPT,Specialized Lighting Concepts
FIBREOPTIC,Bruce keys Lightscapes Ltd
FIBREOPTIC,FIBREOPTIC
FIELDEN,FIELDEN & SONS
FIELDTRON,Fieldtron Limited
FIFESHIRE,FIFESHIRE PEST CONTROL
FIGARO,Figaro Cafe
FIGARO,Figaro's Cafe
FIGAROCAFE,BEME ENTERPRISES LTD
FILING,FILING SOLUTIONS
FILMWORX,FILMWORX
FILTEC,Filtration Technology Ltd
FILTERCORP,Filtercorp International Ltd
FINDLAYSD,Findlays Drycleaners Ltd
FINELINE,FINELINE MARKETING
FINNCO,Finnco Pneumatics Limited
FINSBURY,The Finsbury & Coventry Co.Ltd
FINZLAWN,MR FINZ LAWN SERVICES LIMITED
FIORDLAND,Fiordland Electrical (1992)Ltd
FIORDLAND,Fiordland Electrical Ltd
FIORDLANDE,Fiordland Electrical (1992)Ltd
FIORDLANDL,FIORDLAND LOGISTICS
FIRE PRO,FIRE PRO WELLINGTON
FIRECORO,Firewatch Coromandel
FIRECORP,Firecorp Industries NZ Ltd
FIREE,Fire Equipment Centre (1997)
FIREFIGHT,FFP CANTERBURY LTD
FIREFIGHT,Fire Fighting pacific
FIRENICERE,FIRE N ICE REFRIGERATION AND
FIREOTAGO,FIREWATCH OTAGO 2012LTD
FIREPRO,Firepro Centabuild Limited
FIREPROE,FPE Wholesale Ltd
FIREPROT,FIRE PROTECTION COMPLIANCE LTD
FIREPROWEL,Firepro Centabuild Ltd
FIRES-KIR,Firestone Direct Kerikeri Ltd
FIRESEC,Fire Security Services Ltd
FIRESEC5,FIRE SECURITY SERVICES WLG LTD
FIRESPECS,Firespec South
FIRESTA,FIRESTONE DIRECT -MT EDEN
FIRESTA,Firestone Direct Mt Eden
FIRESTA,KHYBER AUTOMOTIVE
FIRESTOD,Firestone Direct
FIRESYS,Fire Systems NZ Ltd
FIREW,FIREWATCH WHANGAREI
FIREWAT,Firewatch Auckland Central
FIREWATC,Firewatch Counties  Ltd
FIREWATC,Firewatch Counties 2011 Ltd
FIREWATCH,Firewatch Wairarapa Tararua
FIREWATCH,Firewatch Whangarei
FIREWATCHK,AHI SMART Limited T/A
FIREWATE,Burrell 2015 Ltd
FIREWATE,Firewatch East Auckland
FIREWATN,Firewatch North Shore
FIREWATNOR,Firewatch North 2003
FIREWATNTH,Firewatch Northland 2007 Ltd
FIREWATNTH,Firewatch Northland 2011 Ltd
FIREWATNTH,Firewatch Northland 2018 Ltd
FIREWATOT,Firewatch Central Otago  Ltd
FIREWATOT,Firewatch Central Otago Ltd
FIREWATR,Firewatch Rodney
FIREWATROD,Firewatch Rodney 2020 Ltd
FIREWATRS,FIREWATCH RODNEY SOUTH
FIREWATS,Firewatch Sth Auckland Ltd
FIREWATW,Firewatch Waitakere Ltd
FIREWATW,Virode Ltd T/A
FIREWATWES,Fire Safety Services Ltd
FIREWATWES,FIREWATCH AUCKLAND WEST LTD
FIREWATWN,FIREWATCH WELLINGTON LTD
FIREWATWW,Firewatch Warkworth
FIREWKING,Firewatch KIng Country & Lakes
FIREWSC,Firewatch South Canterbury Ltd
FIRSTAIDNZ,First Aid NZ Ltd
FIRSTCC,FIRST CLASS CLEANING SERVICES
FIRSTED,First Edition Cabinetmakers
FIRSTO,Firestone Direct
FIRSTREC,First Recovery Services Ltd
FIRSTSEC,FIRST SECURITY GUARD SERVICES
FISHCIT,Fish City
FISHCITHAM,Fish City Hamilton
FISHERB,Fisher & Blundell (1990) Ltd
FISHERHVAC,Fisher & Paykel Appliances
FISHERHVAC,Fisher & Paykel Australia
FISHERP,FISHER & PAYKEL
FISHERR,R R Fisher & Co Ltd
FISHERW,Fisher Windows Otago
FISHERWA,CSE New Zealand Limited
FISHERWA,CSE-W Arthur Fisher Ltd
FISHERWA,W ARTHUR FISHER LTD
