Cre Account,Cre Name,PO No,Invoice No,Invoice total,Sub Total,Invoice Date,Uploaded Date
CLIPSAL,Clipsal Industries (NZ) Ltd,1312945,400345,2.35,2.09,19/07/2007,31:34.0
CLIPSAL,Clipsal Industries (NZ) Ltd,1316458,401182,457.32,406.51,25/07/2007,31:34.0
CLIPSAL,Clipsal Industries (NZ) Ltd,1320307,402078,260.04,231.15,31/07/2007,31:34.0
CLIPSAL,Clipsal Industries (NZ) Ltd,1323202AA,402875,9.68,8.6,3/8/2007,31:34.0
CLIPSAL,Clipsal Industries (NZ) Ltd,1326795,403678,743.81,661.16,8/8/2007,31:34.0
CLIPSAL,Clipsal Industries (NZ) Ltd,1331186,404557,196.65,174.8,14/08/2007,31:34.0
CLIPSAL,Clipsal Industries (NZ) Ltd,1333923AB,405503,666.34,592.3,20/08/2007,31:34.0
CLIPSAL,Clipsal Industries (NZ) Ltd,1337636,406342,1605.25,1426.89,23/08/2007,31:34.0
CLIPSAL,Clipsal Industries (NZ) Ltd,1296619AB,407337,-31.8,-28.27,30/08/2007,31:34.0
SCHNEIDE,Schneider Electric,5569500,9235280874,781.28,679.37,25/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5558386,9235280875,78.49,68.25,25/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5564230,9235280876,17408.27,15137.63,25/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5562029AB,9235280877,144.1,125.3,25/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5565857AA,9235280878,17.76,15.44,25/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560086AA,9235280879,56.17,48.84,25/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5565901,9235280880,3475.29,3021.99,25/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5567777,9235280881,386.4,336,25/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5551739AB,9235283621,42.12,36.63,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5521084AA,9235283622,31.8,27.65,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5568770,9235283623,1591.19,1383.64,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5567154,9235283624,37.92,32.97,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,0,9235283625,585.12,508.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574602,9235283626,750.72,652.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574629,9235283627,1931.66,1679.7,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571520,9235283650,333.8,290.26,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570874AA,9235283651,233.36,202.92,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573280,9235283660,1170.86,1018.14,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574502,9235283661,646.07,561.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574411,9235283662,11.01,9.57,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5552800AE,9235283697,95.39,82.95,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5565124AA,9235283701,46.05,40.04,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573396,9235283702,835.5,726.52,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574184,9235283703,218.21,189.75,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574019,9235283704,2.42,2.1,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574743,9235283705,195.96,170.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572589,9235283706,3770.04,3278.29,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574130,9235283707,107.36,93.36,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573846,9235283708,9.71,8.44,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5529982AB,9235283709,18.88,16.42,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5559927AB,9235283710,57.56,50.05,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570566,9235283711,1704.74,1482.38,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570569,9235283712,3346.16,2909.7,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5540043AA,9235283713,3.22,2.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5524998,9235283714,63.6,55.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5553968,9235283715,63.6,55.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5536188AE,9235283716,31.8,27.65,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569245AB,9235283717,221.26,192.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572365AA,9235283718,71.53,62.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574274,9235283719,307.51,267.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5558386AD,9235283720,414.74,360.64,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573643,9235283721,965.26,839.36,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570522,9235283722,8021.25,6975,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5566075AA,9235283723,143.06,124.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570538AC,9235283724,110.63,96.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570538,9235283725,241.25,209.78,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574713,9235283726,126.13,109.68,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572456AA,9235283747,40.57,35.28,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5559517,9235283748,35.02,30.45,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573231,9235283763,1272.64,1106.64,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5545712AF,9235283764,1898.88,1651.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573338,9235283775,19.96,17.36,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574838,9235283776,1138.47,989.97,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571788AA,9235283791,9889.52,8599.58,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570860,9235283792,98.39,85.56,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569900AB,9235283793,2056.89,1788.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569887,9235283794,8610.74,7487.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569686,9235283795,215.14,187.08,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572761,9235283816,1274.59,1108.34,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572659,9235283824,246.96,214.75,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573785,9235283835,132.71,115.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5556324AH,9235283838,57.56,50.05,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5568108AB,9235283844,110.63,96.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5562985,9235283861,842.49,732.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574389,9235283867,72.13,62.72,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5545365,9235283887,76.31,66.36,24/09/2019,40:57.2
SECURIMA,Simx Limited,5528914,263820,228.45,198.65,5/9/2019,40:57.2
SECURIMA,Simx Limited,5542640,264295,250.62,217.93,6/9/2019,40:57.2
SECURIMA,Simx Limited,5544864,265086,534.6,464.87,9/9/2019,40:57.2
SECURIMA,Simx Limited,5546233,266074,636.09,553.12,11/9/2019,40:57.2
SECURIMA,Simx Limited,5550021,266456,450.37,391.63,12/9/2019,40:57.2
SECURIMA,Simx Limited,5628249,268199,152.93,132.98,20/09/2019,40:57.2
SECURIMA,Simx Limited,5541729AA,269487,334.88,291.2,26/09/2019,40:57.2
SERENE,Serene Industries Limited,5384739AA,33839,3289,2860,16/09/2019,40:57.2
SERENE,Serene Industries Limited,5527234,33958,341.55,297,16/09/2019,40:57.2
SERENE,Serene Industries Limited,5568354,34144,13156,11440,25/09/2019,40:57.2
SERENE,Serene Industries Limited,5575032,34270,526.7,458,30/09/2019,40:57.2
SIEMENSNZ,Siemens (NZ) Ltd,5463150AB,5510254824,63.66,55.36,24/07/2019,40:57.2
SIEMON,The Siemon Company,SIE0000025,604868,49843.11,49843.11,26/09/2019,40:57.2
SIGNS,Signs Unlimited,5640190,9465,57.5,50,3/9/2019,40:57.2
SMITH,Smiths Elements And Controls,5387842,SI-47584,0,0,11/9/2019,40:57.2
SMITH,Smiths Elements And Controls,5558554,SI-47646,0,0,10/9/2019,40:57.2
SMITH,Smiths Elements And Controls,5236797,SI-47865,0,0,16/09/2019,40:57.2
SMITH,Smiths Elements And Controls,5422805,SI-47870,0,0,16/09/2019,40:57.2
SMITH,Smiths Elements And Controls,5555255,SI-47922,135.33,117.68,16/09/2019,40:57.2
SMITH,Smiths Elements And Controls,5285770,SI-48049,0,0,19/09/2019,40:57.2
SMITH,Smiths Elements And Controls,5220134,SI-48183,0,0,23/09/2019,40:57.2
SMITH,Smiths Elements And Controls,5566367,SI-48317,527.09,458.34,24/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5566677AA,9235283401,71.65,62.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5566677AC,9235283402,91.97,79.97,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5562700AC,9235283403,202.71,176.27,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5548590AG,9235283404,13.83,12.03,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574400,9235283405,20.24,17.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574851,9235283406,262.89,228.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571834,9235283407,1446.84,1258.12,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573922,9235283408,36.73,31.94,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574438,9235283409,1046.9,910.35,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574534,9235283410,114.71,99.75,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574459,9235283411,406.3,353.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5357527AP,9235283412,17655.95,15353,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5562845AC,9235283413,362.94,315.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5563569AD,9235283414,267.93,232.98,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570604,9235283415,100.14,87.08,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5540387AG,9235283416,26.04,22.64,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5543855AC,9235283417,26.04,22.64,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573295,9235283418,1717.07,1493.1,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574452,9235283419,6.72,5.84,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5557189AF,9235283420,121.72,105.84,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572313AB,9235283421,7.45,6.48,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574061,9235283422,104.33,90.72,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574116,9235283423,98.77,85.89,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5535254AB,9235283424,95.39,82.95,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5541352AA,9235283425,63.6,55.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572270,9235283426,398.48,346.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573561,9235283427,132.5,115.22,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573867,9235283428,741.36,644.66,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569825AA,9235283429,110.63,96.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5543918AG,9235283430,266.62,231.84,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574060,9235283431,266.09,231.38,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5541477AA,9235283432,19.44,16.9,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571722,9235283450,47.66,41.44,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5531636AB,9235283451,63.6,55.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571742AA,9235283452,578.15,502.74,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573759,9235283453,220.57,191.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5525006AE,9235283454,18.88,16.42,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573187,9235283467,3623.65,3151,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573187,9235283468,376.74,327.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573697,9235283469,165.26,143.7,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5565511AC,9235283475,37.92,32.97,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571489,9235283484,3287.16,2858.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571546,9235283485,6285.8,5465.92,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5551017AG,9235283486,101.32,88.1,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572543,9235283487,1418.57,1233.54,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5568783,9235283488,160.63,139.68,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5551017AH,9235283489,196.42,170.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571546AA,9235283490,98.21,85.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5551017AI,9235283491,19.27,16.76,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573984,9235283497,12.88,11.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573880,9235283498,27.07,23.54,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5564689AA,9235283499,208.29,181.12,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574339,9235283500,424.01,368.7,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5546680AA,9235283594,31.8,27.65,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5526331AF,9235283595,835.19,726.25,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5547772AA,9235283596,48.02,41.76,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573733,9235283597,1513.23,1315.85,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574120,9235283598,198.72,172.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574481,9235283599,179.32,155.93,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5551852AA,9235283600,509.15,442.74,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572334,9235283601,20780.02,18069.58,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573953,9235283602,77.83,67.68,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569110AA,9235283603,37.61,32.7,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573596,9235283604,69.59,60.51,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574015,9235283605,361.56,314.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570270,9235283607,4404.68,3830.16,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560794AC,9235283608,242.88,211.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5531031AB,9235283609,63.83,55.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5559976AA,9235283610,254.58,221.37,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5567605,9235283611,104.31,90.7,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5565358AD,9235283612,254.38,221.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574289,9235283613,331.2,288,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5567947,9235283614,29738.3,25859.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5543714AE,9235283615,127.19,110.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5534923AA,9235283616,36.98,32.16,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573531,9235283617,126.39,109.9,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5554749,9235283618,253.41,220.35,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5566705,9235283619,2785.71,2422.36,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5566769,9235283620,2494.68,2169.29,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5538487,9235283249,92.32,80.28,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570634,9235283250,2969.93,2582.55,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560629,9235283252,183.93,159.94,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560301AE,9235283257,115,100,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573211,9235283258,218.22,189.76,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570730,9235283259,6218.83,5407.68,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572150,9235283260,414.37,360.32,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572456,9235283262,746.64,649.25,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571605,9235283263,1962.82,1706.8,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571274,9235283264,1372.91,1193.84,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570699,9235283276,3035.67,2639.71,29/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5428863,9235283286,114198.62,99303.15,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573737,9235283291,359.03,312.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573833,9235283292,68.39,59.47,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573212AA,9235283293,2349.96,2043.44,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560671AB,9235283297,511.75,445,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,0,9235283298,255.88,222.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560671AC,9235283299,511.75,445,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5567188,9235283302,5.55,4.83,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571261,9235283303,389.85,339,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571542,9235283306,296.13,257.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5559365AB,9235283343,90.74,78.9,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571964,9235283344,1006.25,875,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5534442AD,9235283345,174.23,151.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570229AC,9235283346,254.73,221.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570229AA,9235283347,181.13,157.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5414318AT,9235283348,7909.93,6878.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571889,9235283349,19665.61,17100.53,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5487097AB,9235283350,61.87,53.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571246AA,9235283351,623.52,542.19,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5534175,9235283352,132.94,115.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571889AB,9235283353,785.68,683.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572514AA,9235283354,219.91,191.23,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573815,9235283355,48.21,41.92,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5533507AB,9235283356,188.83,164.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574333,9235283357,373.98,325.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573503,9235283358,111.13,96.64,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5553217AA,9235283359,46.64,40.56,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5564372AA,9235283360,2.42,2.1,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560874AD,9235283361,91.97,79.97,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572753,9235283362,528.43,459.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573354,9235283363,80.13,69.68,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573361,9235283364,80.13,69.68,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574820,9235283365,245.36,213.36,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574833,9235283366,402.89,350.34,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5539610AD,9235283367,74.92,65.15,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5562703AB,9235283368,31.8,27.65,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573481,9235283369,25.81,22.44,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5526665AI,9235283370,79.56,69.18,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569827AA,9235283371,109.8,95.48,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570880,9235283372,132.76,115.44,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5540436AE,9235283373,100.57,87.45,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573278,9235283374,231.77,201.54,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5418266AD,9235283375,341.14,296.64,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5547103AG,9235283376,200.79,174.6,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571715,9235283377,1290.88,1122.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5568418AA,9235283378,110.75,96.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571542,9235283379,13006.8,11310.26,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573694,9235283380,102.57,89.19,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573903,9235283381,53.75,46.74,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5574327,9235283382,5.11,4.44,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573584,9235283383,148.75,129.35,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560133AF,9235283384,181.47,157.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5529964AI,9235283385,63.6,55.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5560133AG,9235283386,52.77,45.89,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5564294AD,9235283387,37.92,32.97,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5540525AA,9235283388,10.25,8.91,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573475,9235283389,417.8,363.3,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5531007AI,9235283390,121.81,105.92,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5562864AE,9235283391,725.88,631.2,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5568036AA,9235283392,494.96,430.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5562715AF,9235283393,199.27,173.28,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573223,9235283394,265.08,230.5,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5536718,9235283395,60.9,52.96,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573399,9235283396,144.26,125.44,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5561338,9235283397,103.91,90.36,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5562715AE,9235283398,97.38,84.68,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5493537,9235283399,72.22,62.8,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5566677,9235283400,641.01,557.4,30/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572526AA,9235282986,339.25,295,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573125,9235282987,51.29,44.6,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572955,9235282988,209.07,181.8,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573010,9235282989,169.4,147.3,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5567375AB,9235283039,12.97,11.28,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572954,9235283040,89.15,77.52,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572599AA,9235283041,211.66,184.05,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572398,9235283042,96.67,84.06,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573215,9235283043,224.94,195.6,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570720,9235283044,31.37,27.28,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5536950AF,9235283045,29.97,26.06,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572676,9235283046,818.75,711.95,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5536105AE,9235283047,44.95,39.09,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569817AA,9235283048,181.47,157.8,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573118,9235283049,296.24,257.6,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5543180AD,9235283050,799.85,695.52,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570183,9235283051,44.78,38.94,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5542858AC,9235283052,149.85,130.3,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572623,9235283053,2600.62,2261.41,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5571976,9235283054,112.98,98.24,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572262,9235283055,366.49,318.69,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572225,9235283056,233.34,202.9,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5554749AG,9235283057,115.12,100.1,27/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5536206AJ,9235283059,74.92,65.15,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570695,9235283060,1865.19,1621.9,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5566858,9235283061,717.54,623.95,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5568514,9235283062,849.05,738.3,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570680,9235283063,187.45,163,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570998,9235283064,233.25,202.83,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5569900AI,9235283065,227.38,197.72,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5500206AB,9235283092,156.68,136.24,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5570982,9235283093,140.89,122.51,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5573096,9235283095,156.49,136.08,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5465728AE,9235283096,266.93,232.11,28/09/2019,40:57.2
SCHNEIDE,Schneider Electric,5572924,9235283097,50.09,43.56,28/09/2019,40:57.2
